recipe_id,amount,unit,name,ingredient_id
18198,1.125,cups,white sugar,
18198,0.25,teaspoons,salt,
18198,0.75,teaspoons,nutmeg,
18198,1.5,cups,sour cream,
18198,3,,egg yolks,
18198,1.5,cups,raisins,
18198,1,tablespoons,lemon juice,
18198,3,,egg whites,
18198,0.25,teaspoons,cream of tartar,
18198,6,tablespoons,brown sugar,
18198,0.5,teaspoons,vanilla extract,
18343,2,,plum tomatoes,
18343,1,,zucchini,
18343,3,tablespoons,salsa,
18343,3,tablespoons,water,
18343,0.5,teaspoons,oregano,
18343,0.25,teaspoons,basil,
18343,0,,salt pepper to taste,
18473,0.5,,eggs,
18473,3,tablespoons,white sugar,
18473,1,pinches,salt,
18473,1.5,cups,all purpose flour,
18473,0.5,cups,butter,
18913,2,cans,sweet potatoes,
18913,0.333333333,cups,butter,
18913,2,tablespoons,white sugar,
18913,2,tablespoons,brown sugar,
18913,1,tablespoons,orange juice,
18913,2,,eggs,
18913,0.5,cups,milk,
18913,0.333333333,cups,pecans,
18913,0.333333333,cups,brown sugar,
18913,2,tablespoons,all purpose flour,
18913,2,teaspoons,butter,
19424,2,cans,condensed cream of chicken soup,
19424,0.75,cups,milk,
19424,1,pounds,elbow macaroni,
19424,4,,tomatoes,
19424,12,slices,processed sharp Cheddar cheese,
19489,1,pounds,crabmeat,
19489,1.5,tablespoons,bread,
19489,2,teaspoons,parsley,
19489,0,,salt pepper to taste,
19489,1,,eggs,
19489,1.5,tablespoons,mayonnaise,
19489,0.5,teaspoons,mustard,
19489,1,dashes,hot pepper sauce,
19515,0.25,cups,butter,
19515,1,cups,onion,
19515,1,cups,celery,
19515,1,tablespoons,parsley,
19515,8,ounces,crabmeat,
19515,8,ounces,shrimp,
19515,0.25,cups,vermouth,
19515,0,,salt to taste,
19515,0,,black pepper to taste,
19515,0.25,teaspoons,hot pepper sauce,
19515,0.5,cups,bread,
19515,1,packages,puff pastry sheets,
19515,2,pounds,flounder fillets,
19515,2,,egg yolks,
20978,2,quarts,cider vinegar,
20978,0.25,cups,salt,
20978,2,tablespoons,cayenne pepper,
20978,3,tablespoons,red pepper flakes,
20978,1,cups,brown sugar,
20978,1,tablespoons,hot pepper sauce,
21325,1,loaves,French bread,
21325,1,,sweet onion,
21325,1,cans,tuna,
21325,2,cups,mozzarella cheese,
21325,1,cups,mayonnaise,
25829,0.5,cups,butter,
